상점 이름,대분류,지역,분류1,가격(밥),분위기(술),목적(카페),상점이미지,사장님 한마디,연락처,운영시간,배달,포장,예약,대관,단체석,좌식,흡연실,1인석,특이사항,위도,경도,지번주소,도로명주소,새로운 상점 여부,키워드,,,출처
광동수산조개구이,밥,고려대,기타,무난보통,,,guangdong_food_1.jpeg,,/(02)942-8885,월-일 15:30 ~ 아침 07:30 / 연중무휴,O,O,O,,,,,,배달은 5만원 이상부터,37.5914301245,127.036871508,,서울특별시 성북구 회기로 3,,,,,
구십스,밥,고려대,분식,부담없게,,,90s_sign_2.jpg,,/(02)6396-9500,월-토 11:00 ~ 22:00 / 일요일 휴무,X,O,O,,,,,,,37.5893542485,127.036838781,,서울특별시 동대문구 고산자로 560,,,,,
파마고,밥,고려대,한식,무난보통,,,famago_food_1.jpg,,/(02)926-9233,월-토 10:00 ~ 11:00,X,O,O,,,,,,,37.5895813282,127.0367437839,,서울특별시 동대문구 고산자로 562,,,,,
알콩김밥 달콩라면,밥,법후,분식,무난보통,,,alcong_sign_1.jpg,,/(02)923-3355,월-토 09:00 ~ 21:00 / 일요일 휴무,X,O,O,,,,,,,37.5955355175,127.0353199625,,서울특별시 성북구 종암로9길 3 아주빌딩,,,,,
오박사네 돈까스,밥,법후,일식,무난보통,,,obaksa_food_1.jpg,,/(02)922-9759,월-일 10:30 ~ 21:00,X,O,O,,,,,,,37.5925334474,127.0352053142,,서울특별시 성북구 북악산로 1055 종암빌딩,,,,,
국민수육국밥,밥,이공후문,한식,무난보통,,,gukminsooyuk_food_2.jpeg,,(02)922-3353,월-일 08:30 ~ 24:00,X,O,O,,,,,,,37.5822568019,127.0282083824,,서울특별시 성북구 안암로9가길 76 안암복합빌딩,,,,,
동암 닭한마리 칼국수,밥,이공후문,한식,무난보통,,,dongam_food_1.jpeg,,(02)6405-2434,월-일 09:30 ~ 24:00,X,O,O,,,,,,,37.5829377864,127.0288969863,,서울특별시 성북구 안암로 71,,,,,
부부바지락손칼국수,밥,이공후문,한식,부담없게,,,bububajirak_sign_2.JPG,,(02)921-4832,월-토 10:30 ~ 22:00 / 일요일 휴무,X,O,O,,,,,,,37.58280754,127.0308849872,,서울특별시 동대문구 약령시로 9,,,,,
삼성통닭(이공후문점),밥,이공후문,치킨,무난보통,,,samsungtongdak_food_1.jpg,"38년 전통, 고대생이라면 꼭 들리는 집입니다",(02)922-0077,월-일 14:00 ~ 05:00,O,O,O,,,,,,200석 규모,37.5834530597,127.029282119,,서울특별시 성북구 안암동5가 104-41호,,,,,
정다래 함박스텍(이공후문점),밥,이공후문,양식,무난보통,,,hambak(egong)_food_1.jpg,,(02)928-9558,월-토 10:00 ~ 21:00 / 일요일 휴무,X,O,X,,,,,,,37.5830748529,127.0284215356,,서울특별시 성북구 안암로9가길 91,,,,,
르구떼,밥,정대후문,양식,무난보통,,,lugutte_food_1.jpeg,,(02)926-9262,월-토 11:00 ~ 21:00 / 일요일 휴무,O,O,O,,,,,,,37.5865053097,127.0305242097,,서울특별시 성북구 인촌로 99 주니퍼빌딩,,,,,
만두방,밥,정대후문,분식,긴축재정,,,mandoobang_food_1.jpg,,(02)926-0686,월-금 10:00 21:00 / 토 10:00 ~ 18:00 / 일요일 휴무,X,O,X,,,,,,,37.5864624357,127.0290432708,,서울특별시 성북구 인촌로87,,,,,
매스플레이트,밥,정대후문,양식,작은사치,,,massplate_food_2.jpg,,010-5684-4484,월-일 11:00 ~ 22:00 / 라스트오더 20:30 / 브레이크타임 15:00 ~ 16:30,X,X,O,,,,,,,37.5871290659,127.029464713,,서울특별시 성북구 개운사길 18 2층,,,,,
부산아지매국밥,밥,정대후문,한식,무난보통,,,busangookbab_food_1.jpg,,/(02)929-9882,월-일 09:00 ~ 21:00,X,O,O,,,,,,,37.5866606239,127.029165626,,서울특별시 성북구 개운사길 5 세한빌딩 2층,,,,,
수오재,밥,정대후문,한식,무난보통,,,suojae_food_1.jpg,,(02)928-2824,월-일 10:30 ~ 21:30 ~,X,O,O,,,,,,,37.5864946909,127.0297678935,,서울특별시 성북구 인촌로27길 3,,,,,
절대분식,밥,정대후문,분식,작은사치,,,juldae_food_1.jpg,,010-4005-2502,월-금 11:00~21:00 / 토 11:00~18:00 / 일요일 휴무 / 공휴일은 그 때 그 때 다름,X,O,O,,,,,,"2월에 메뉴&가격 변동있으 2월 이후 연락하고 사진 촬영, 3~5시",37.5869992617,127.0297092195,,서울특별시 성북구 인촌로27길 15,,,,,
하노이별,밥,정대후문,기타,무난보통,,,hanoi_food_1.jpg,,/(02)953-7470,월-일 10:30 ~ 21:30,X,O,O,,,,,,,37.5866606239,127.029165626,,서울특별시 성북구 개운사길 5 세한빌딩,,,,,
동네아저씨치킨,밥,정문,치킨,작은사치,,,dongnae_food_1.jpg,,/(02)927-3277,월-일 11:00 ~ 02:00,X,X,X,,,,,,,37.5884321056,127.0352894321,,서울특별시 동대문구 안암로24길 4,,,,,
돌돌말아,밥,참살이,양식,무난보통,,,doldolmara_food_1.jpg,,070-8805-2285,월-토 11:30 ~ 22:00 / 브레이크타임 14:30 ~ 17:00 / 일요일 휴무,X,X,O,,,,,,,37.5834926221,127.029608196,,"서울특별시 성북구 인촌로24길 61 지상 2, 3층 (안암동5가)",,,,,
땡전집,밥/술,참살이,소주/한식,무난보통,시끌시끌,,ddaengjeon_food_1.jpg,,(02)929-8295,월-일 17:00 ~ 05:00 / 연중무휴,O,O,O,O,O,,,,,37.5851721636,127.0292465625,,서울특별시 성북구 인촌로24길 24,,,,,
